Model Name,Image,Prediction,Confidence,Latency
yolo_notonnx,Epic.jpg,person,0.6270,0.3209
yolo_notonnx,cat.jpg,cat,0.8799,0.2462
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2608
yolo_notonnx,zidane.jpg,person,0.8248,0.2426
yolo_notonnx,bus.jpg,bus,0.9070,0.3939
resnet50_onnx,street.jpg,minibus,0.9548,0.0827
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0730
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0643
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0558
resnet50_onnx,zidane.jpg,suit,0.8285,0.0577
resnet50_onnx,bus.jpg,minibus,0.9594,0.0586
resnet50_notonnx,street.jpg,minibus,0.9548,0.1679
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1336
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.1668
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.0856
resnet50_notonnx,zidane.jpg,suit,0.8285,0.1197
resnet50_notonnx,bus.jpg,minibus,0.9594,0.0825
yolo_onnx,street.jpg,bus,0.9115,0.0836
yolo_onnx,Epic.jpg,person,0.6270,0.0964
yolo_onnx,cat.jpg,cat,0.8799,0.0721
yolo_onnx,pizza.jpg,pizza,0.9178,0.0994
yolo_onnx,zidane.jpg,person,0.8248,0.0758
yolo_onnx,bus.jpg,bus,0.9070,0.0771
yolo_notonnx,street.jpg,bus,0.9115,0.3158
yolo_notonnx,Epic.jpg,person,0.6270,0.2942
yolo_notonnx,cat.jpg,cat,0.8799,0.2464
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2677
yolo_notonnx,zidane.jpg,person,0.8248,0.2366
yolo_notonnx,bus.jpg,bus,0.9070,0.2327
resnet50_onnx,street.jpg,minibus,0.9548,0.1072
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0750
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0650
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0618
resnet50_onnx,zidane.jpg,suit,0.8285,0.0654
resnet50_onnx,bus.jpg,minibus,0.9594,0.0605
resnet50_notonnx,street.jpg,minibus,0.9548,0.1903
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1564
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.0806
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.0846
resnet50_notonnx,zidane.jpg,suit,0.8285,0.1522
resnet50_notonnx,bus.jpg,minibus,0.9594,0.0732
yolo_onnx,street.jpg,bus,0.9115,0.0810
yolo_onnx,Epic.jpg,person,0.6270,0.0685
yolo_onnx,cat.jpg,cat,0.8799,0.0703
yolo_onnx,pizza.jpg,pizza,0.9178,0.0767
yolo_onnx,zidane.jpg,person,0.8248,0.0711
yolo_onnx,bus.jpg,bus,0.9070,0.0708
yolo_notonnx,street.jpg,bus,0.9115,0.3282
yolo_notonnx,Epic.jpg,person,0.6270,0.2838
yolo_notonnx,cat.jpg,cat,0.8799,0.2512
